Variable Name,Variable Label,Answer Label,Answer Code,Variable Type
e_06,E.06. What kind of toilet facility do members of your household usually use?,,,Numeric
,,flush toilet,1,
,,pit latrine with concrete floor/slab (improved),2,
,,pit latrine with open pit (dirt floor),3,
,,"other toilet (bucket toilet, hanging toilet/latrine)",4,
,,no facility / bush/ field,5,
,,other (specify),9999,
e_07,E.07 What is the main source of electricity?,,,Integer
,,Government/national grid,1,
,,Border country grid,2,
,,Through a transformer/generator purchased by the community,3,
,,Mini-grid/micro-grid solar (community-based),4,
,,Household owned transformer or generator,5,
,,Solar home system,6,
,,Rechargeable battery system,7,
,,Water mill,8,
,,no electricity,9,
,,Private company/generator,10,
,,Other (specify),9999,
e_07_oth,E.07 Other Specify (English),,,Numeric
,,"Private power supply (get electricity from Phoe Thee Cho, TTC and Petrol Company)",10,
e_08,E.08. a rice cooker?,,,Numeric
,,Yes,1,
,,No,2,
e_09,E.09. a fridge?,,,Numeric
,,Yes,1,
,,No,2,
e_10,E.10. a TV?,,,Numeric
,,Yes,1,
,,No,2,
e_11,E.11. a wardrobe?,,,Numeric
,,Yes,1,
,,No,2,
e_12,"E.12. a car, motorcycle, scooter/moped, tuk-tuk (mechanized rickshaw), or motori",,,Numeric
,,Yes,1,
,,No,2,
e_13,"E.13. a working computer, laptop, I-pad, kindle or similar device?",,,Numeric
,,Yes,1,
,,No,2,
e_14,E.14. How many working mobile phones are owned in total by members of your house,Open ended,,Numeric
e_15,E.15. Do you or any other household members own any agricultural land? (crop lan,,,Numeric
,,Yes,1,
,,No,2,
e_16,E.16. What is the total acreage of agricultural land owned by any of your househ,,,Integer
,,..........acres,1,
,,..........Length ..........Width,2,
,,don’t know,9998,
e_16_acres,E.16 ______acres,Open ended,,double
e_16_length,E.16 Length ______Length,Open ended,,Integer
e_16_width,E.16 ______Width,Open ended,,Integer
f_01_01,F.01.1. Wage employment,,,Numeric
,,Yes,1,
,,No,2,
f_01_02,F.01.2.Salaried employment,,,Numeric
,,Yes,1,
,,No,2,
f_01_03,F.01.3. Own or household crop farm (seasonal and perennial crops),,,Numeric
,,Yes,1,
,,No,2,
f_01_04,F.01.4. Own or household livestock business,,,Numeric
,,Yes,1,
,,No,2,
f_01_05,F.01.5. Own or household fishing or aquaculture business,,,Numeric
,,Yes,1,
,,No,2,
f_01_06,F.01.6. Own or a household non-farm enterprise (including any small business act,,,Numeric
,,Yes,1,
,,No,2,
f_01_07,F.01.7. No employment,,,Numeric
,,Yes,1,
,,No,2,
f_02_01,F.02.1. Crop farming (seasonal and perennial crops),,,Numeric
,,Yes,1,
,,No,2,
f_02_02,F.02.2. Livestock raising,,,Numeric
,,Yes,1,
,,No,2,
f_02_03,F.02.3. Fishing or aquaculture,,,Numeric
,,Yes,1,
,,No,2,
f_02_04,F.02.4. Non-agricultural activities,,,Numeric
,,Yes,1,
,,No,2,
f_03_01,F.03.1. Crop farming (seasonal and perennial crops),,,Numeric
,,Yes,1,
,,No,2,
f_03_02,F.03.2. Livestock raising,,,Numeric
,,Yes,1,
,,No,2,
f_03_03,F.03.3. Fishing or aquaculture,,,Numeric
,,Yes,1,
,,No,2,
f_03_04,F.03.4. Non-agricultural activities,,,Numeric
,,Yes,1,
,,No,2,
f_04,F.04. What was your main occupation in the past 30 days?,,,Numeric
,,wage employment,1,
,,salaried employment,2,
,,work on the own or household crop farm (seasonal and perennial crops),3,
,,work on own or household livestock business,4,
,,work on own or household fishing or aquaculture business,5,
,,work in own or a household non-farm enterprise (including any small business activities),6,
,,{F_01_9999_OT_SP},9999,
f_05_01,F.05.1. Not interested / no need to work / no time to work,,,Numeric
,,Yes,1,
,,No,2,
f_05_02,F.05.2. Slack season,,,Numeric
,,Yes,1,
,,No,2,
f_05_03,F.05.3. Could not find anyone to hire me,,,Numeric
,,Yes,1,
,,No,2,
f_05_04,"F.05.4. Ill, too old",,,Numeric
,,Yes,1,
,,No,2,
f_05_05,F.05.5. Need to take care of children or other family members,,,Numeric
,,Yes,1,
,,No,2,
f_05_06,F.05.6. Not able to go to work due to movement restrictions,,,Numeric
,,Yes,1,
,,No,2,
f_05_07,F.05.7. Not safe to go to work due to violence / conflict,,,Numeric
,,Yes,1,
,,No,2,
f_05_08,F.05.8. Not safe to go to work due to health reasons,,,Numeric
,,Yes,1,
,,No,2,
f_06,F.06. Are you the main income earner in your household?,,,Numeric
,,yes (only one),1,
,,"Yes, jointly with another person",2,
,,No,3,
g_01_01,G.01.1. Wage work– crop farming,,,Numeric
,,Yes,1,
,,No,2,
g_01_02,G.01.2. Wage work– livestock,,,Numeric
,,Yes,1,
,,No,2,
g_01_03,G.01.3. Wage work – fishing/aquaculture,,,Numeric
,,Yes,1,
,,No,2,
g_01_04,G.01.4. Wage work – non-agriculture,,,Numeric
,,Yes,1,
,,No,2,
g_01_05,G.01.5. Salaried work– crop farming,,,Numeric
,,Yes,1,
,,No,2,
g_01_06,G.01.6. Salaried work– livestock,,,Numeric
,,Yes,1,
,,No,2,
g_01_07,G.01.7. Salaried work – fishing/aquaculture,,,Numeric
,,Yes,1,
,,No,2,
g_01_08,G.01.8. Salaried work– non-agriculture,,,Numeric
,,Yes,1,
,,No,2,
g_01_09,G.01.9. Own or household crop farm (seasonal and perennial crops),,,Numeric
,,Yes,1,
,,No,2,
g_01_10,G.01.10. Own or household livestock business,,,Numeric
,,Yes,1,
,,No,2,
g_01_11,G.01.11. Own or household fishing or aquaculture business,,,Numeric
,,Yes,1,
,,No,2,
g_01_12,G.01.12. Own or a household non-farm enterprise (including any small business ac,,,Numeric
,,Yes,1,
,,No,2,
g_01_13,G.01.13. Renting out of land / properties …,,,Numeric
,,Yes,1,
,,No,2,
g_01_14,"G.01.14. Gifts, donations, pensions, assistance",,,Numeric
,,Yes,1,
,,No,2,
g_01_15,G.01.15. Remittances,,,Numeric
,,Yes,1,
,,No,2,
g_01_16,G.01.16. No employment or no income,,,Numeric
,,Yes,1,
,,No,2,
g_02,"G.02.  In the past three months, what was the most important source of income in",,,Numeric
,,wage work– crop farming,1,
,,wage work– livestock,2,
,,wage work – fishing/aquaculture,3,
,,wage work – non-agriculture,4,
,,salaried work– crop farming,5,
,,salaried work– livestock,6,
,,salaried work – fishing/aquaculture,7,
,,salaried work– non-agriculture,8,
,,work on the own or household crop farm (seasonal and perennial crops),9,
,,own or household livestock business,10,
,,own or household fishing or aquaculture business,11,
,,own or a household non-farm enterprise (including any small business activities),12,
,,renting out of land / properties,13,
,,"gifts, donations, pensions, assistance",14,
,,remittances,15,
g_03,"G.03. In the past three months, how many household members have engaged in incom",Open ended,,Numeric
g_04_01,"G.04.1. In the past month, how much income did you and any other household membe",,,Integer
,,______in MMK,1,
,,______in Lakh,2,
,,prefer not to say,9997,
,,Don’t know.,9998,
g_04_02,"G.04.2. In the past month, how much income did you and any other household membe",,,Integer
,,______in MMK,1,
,,______in Lakh,2,
,,prefer not to say,9997,
,,Don’t know.,9998,
g_04_03,"G.04.3. In the past month, how much income did you and any other household membe",,,Integer
,,______in MMK,1,
,,______in Lakh,2,
,,prefer not to say,9997,
,,Don’t know.,9998,
g_04_04,"G.04.4. In the past month, how much income did you and any other household membe",,,Integer
,,______in MMK,1,
,,______in Lakh,2,
,,prefer not to say,9997,
,,Don’t know.,9998,
g_04_05,"G.04.5. In the past month, how much income did you and any other household membe",,,Numeric
,,______in MMK,1,
,,______in Lakh,2,
,,prefer not to say,9997,
,,Don’t know.,9998,
g_04_06,"G.04.6. In the past month, how much income did you and any other household membe",,,Integer
,,______in MMK,1,
,,______in Lakh,2,
,,prefer not to say,9997,
,,Don’t know.,9998,
g_04_07,"G.04.7. In the past month, how much income did you and any other household membe",,,Integer
,,______in MMK,1,
,,______in Lakh,2,
,,prefer not to say,9997,
,,Don’t know.,9998,
g_04_08,"G.04.8. In the past month, how much income did you and any other household membe",,,Integer
,,______in MMK,1,
,,______in Lakh,2,
,,prefer not to say,9997,
,,Don’t know.,9998,
g_04_09,"G.04.9. In the past month, how much income did you and any other household membe",,,Integer
,,______in MMK,1,
,,______in Lakh,2,
,,prefer not to say,9997,
,,Don’t know.,9998,
g_04_10,"G.04.10. In the past month, how much income did you and any other household memb",,,Integer
,,______in MMK,1,
,,______in Lakh,2,
,,prefer not to say,9997,
,,Don’t know.,9998,
g_04_10_in_lakh,G_04_10_in_Lakh. Income from own or household livestock business,Open ended,,double
g_04_10_in_mmk,G_04_10_in_MMK. Income from own or household livestock business,Open ended,,long
g_04_11,"G.04.11. In the past month, how much income did you and any other household memb",,,Integer
,,______in MMK,1,
,,______in Lakh,2,
,,prefer not to say,9997,
,,Don’t know.,9998,
g_04_11_in_lakh,"G.04.11. In the past month, how much income did you and any other household memb",Open ended,,double
g_04_11_in_mmk,G_04_11_in_MMK1. Income from own or household fishing or aquaculture business,Open ended,,long
g_04_12,"G.04.12. In the past month, how much income did you and any other household memb",,,Integer
,,______in MMK,1,
,,______in Lakh,2,
,,prefer not to say,9997,
,,Don’t know.,9998,
g_04_12_in_lakh,G_04_12_in_Lakh. Income from own or a household non-farm enterprise (including a,Open ended,,double
g_04_12_in_mmk,G_04_12_in_MMK. Income from own or a household non-farm enterprise (including an,Open ended,,long
g_04_13,"G.04.13. In the past month, how much income did you and any other household memb",,,Integer
,,______in MMK,1,
,,______in Lakh,2,
,,prefer not to say,9997,
,,Don’t know.,9998,
g_04_13_in_lakh,G_04_13_in_Lakh. Income from renting out of land / properties … ,Open ended,,double
g_04_13_in_mmk,G_04_13_in_MMK. Income from renting out of land / properties …,Open ended,,long
g_04_1_in_lakh,G_04_1_in_Lakh. Income from wage work– crop farming,Open ended,,double
g_04_1_in_mmk,G_04_1_in_MMK. Income from wage work– crop farming,Open ended,,long
g_04_2_in_lakh,G_04_2_in_Lakh. Income from wage work– livestock,Open ended,,double
g_04_2_in_mmk,G_04_2_in_MMK. Income from wage work– livestock,Open ended,,long
g_04_3_in_lakh,G_04_3_in_Lakh. Income from wage work – fishing/aquaculture,Open ended,,double
g_04_3_in_mmk,G_04_3_in_MMK. Income from wage work – fishing/aquaculture,Open ended,,long
g_04_4_in_lakh,G_04_4_in_Lakh. Income from wage work – non-agriculture,Open ended,,double
g_04_4_in_mmk,G_04_4_in_MMK. Income from wage work – non-agriculture ,Open ended,,long
g_04_5_in_lakh,G_04_5_in_Lakh. Income from salaried work– crop farming,Open ended,,double
g_04_5_in_mmk,G_04_5_in_MMK. Income from salaried work– crop farming ,Open ended,,long
g_04_6_in_lakh,G_04_6_in_Lakh. Income from salaried work– livestock,Open ended,,double
g_04_6_in_mmk,G_04_6_in_MMK. Income from salaried work– livestock,Open ended,,long
g_04_7_in_lakh,G_04_7_in_Lakh. Income from salaried work – fishing/aquaculture,Open ended,,double
g_04_7_in_mmk,G_04_7_in_MMK. Income from salaried work – fishing/aquaculture,Open ended,,long
g_04_8_in_lakh,G_04_8_in_Lakh. Income from salaried work– non-agriculture,Open ended,,double
g_04_8_in_mmk,G_04_8_in_MMK. Income from salaried work– non-agriculture,Open ended,,long
g_04_9_in_lakh,G_04_9_in_Lakh. Income from work on the own or household crop farm (seasonal and,Open ended,,double
g_04_9_in_mmk,G_04_9_in_MMK. Income from work on the own or household crop farm (seasonal and ,Open ended,,long
g_05,G.05. G.05 When considering your total household income of the past three months,,,Integer
,,No change,0,
,,Small decrease in income (1-20% reduction),1,
,,High decrease in income (>20% reduction),2,
,,Small increase in income (1-20% higher),3,
,,High increase in income (>20% higher),4,
,,Do not know,9997,
,,prefer not to say,9998,
g_06_01,G.06.1. Reduced working hours / less work,,,Numeric
,,Yes,1,
,,No,2,
g_06_02,G.06.2. Low/reduced wages,,,Numeric
,,Yes,1,
,,No,2,
g_06_03,G.06.3. Not safe to travel to work location,,,Numeric
,,Yes,1,
,,No,2,
g_06_04,G.06.4. Not able to reach work location,,,Numeric
,,Yes,1,
,,No,2,
g_06_05,G.06.5. Not safe at work location,,,Numeric
,,Yes,1,
,,No,2,
g_06_06,G.06.6. Unable to work due to health problems of worker or other household membe,,,Numeric
,,Yes,1,
,,No,2,
g_06_99,g.06.99. Other,,,Numeric
,,Yes,1,
,,No,2,
g_06_oth,g.06.99. Other(Specify),,,Numeric
,,Stressful at work by being bullied. (being oppressed),7,
,,Being oppressed at workplace/ stressful due to discrimination at work,8,
,,Too many working hours/ Many working hours (from 8 to 6)/ many pressure at work,9,
,,Do not get along well with the colleagues,10,
,,"My job is to ask for money to people who take loan. So, it is really difficult to get money from them when it is time.",11,
,,Less of experience is the problem,12,
,,We aren’t paid at the end of the month. It is hard for us since we get paid only after 8/9th days of the month.,13,
,,Irregular power supply (as I have to work online),14,
,,There was heavy raining so I had to walk on the flooded road,15,
,,"For me, it is not convenient to work among girls.",16,
,,Less of experience is the problem,17,
,,Late payment/ Wages are not paid,18,
,,Not paid the daily wages at once.,19,
,,"when going to work, not having a motorcycle is a problem.",20,
g_07,G.07 How many acres did you cultivate in paddy in the 2021 monsoon season?,,,double
,,Don't Know,9998,
g_08,g.08 How much paddy did you harvest or expect to harvest in the 2021 monsoon sea,Open ended,,Numeric
g_08_unit,G.08 How much paddy did you harvest or expect to harvest in the 2021 monsoon sea,,,Integer
,,baskets,1,
,,pone,2,
,,Rakhine basket,3,
,,don’t know,9998,
,,other unit (specify),9999,
g_09,G.09 How does your paddy harvest in this last monsoon compare to production in t,,,Integer
,,Much lower (>20% lower),1,
,,Somewhat lower (1-20% lower),2,
,,About the same,3,
,,Somewhat higher (1-20% higher),4,
,,much higher (>20% higher),5,
,,Don’t know,9998,
g_10,G.10 How many acres did you cultivate in maize in this year’s (2021) monsoon sea,,,double
,,don’t know,9998,
g_11,g.11 How much maize did you harvest or expect to harvest this year's 2021 monsoo,Open ended,,Numeric
g_11_unit,G.11 How much maize did you harvest or expect to harvest this year’s 2021 monsoo,,,Integer
,,Viss,1,
,,pone,2,
,,don’t know,9998,
,,other unit (specify),9999,
g_12,G.12 How does your maize harvest in this last monsoon compare to production in t,,,Integer
,,Much lower (>20% lower),1,
,,Somewhat lower (1-20% lower),2,
,,About the same,3,
,,Somewhat higher (1-20% higher),4,
,,much higher (>20% higher),5,
,,Don’t know,9998,
g_13,"G.13 In the last three months, what is the most important challenge you experien",,,Numeric
,,no difficulties,0,
,,unable to acquire enough inputs or mechanization services (availability),1,
,,high prices of inputs or mechanization services,2,
,,high prices of fuel,3,
,,"disruption to banking services, access to cash, or loan",4,
,,I cannot reach my own farm,5,
,,water / irrigation supply problems,6,
,,weather problems,7,
,,pest and disease problems,8,
,,difficulties hiring workers,9,
,,other (specify),9999,
g_14,"G.14 In the last three months, what is the most important challenge you experien",,,Integer
,,no difficulties,0,
,,low prices for crops,1,
,,high price of fuel / high transportation cost,2,
,,payment problems,3,
,,markets are closed,4,
,,not many traders,5,
,,buyers or traders cannot reach the farm or I cannot reach them,6,
,,not applicable,9996,
,,other (specify),9999,
g_15,"G.15 In the last three months, what is the most important challenge you experien",,,Numeric
,,no difficulties,0,
,,"unable to acquire enough inputs (availability of feed, animals, medicine, etc.)",1,
,,"high prices of inputs (animal feed, animals, medicine, etc)",2,
,,"disruption to banking services,  access to cash or loans",3,
,,I cannot reach my livestock,4,
,,electricity / energy supply problems,5,
,,water / irrigation supply problems,6,
,,difficulties hiring workers,7,
,,sickness or death of animals,8,
,,other (specify),9999,
g_16,"G.16 In the last three months, what is the most important challenge you experien",,,Numeric
,,no difficulties,0,
,,low prices for livestock or livestock products,1,
,,high price of fuel / high transportation cost,2,
,,payment problems,3,
,,markets are closed,4,
,,not many traders,5,
,,buyers or traders cannot reach the farm or I cannot reach them,6,
,,other (specify),9999,
g_17,"G.17 In the last three months, which was the main challenge you had for doing yo",,,Integer
,,no difficulties,0,
,,"unable to acquire enough inputs (availability of feed, fingerlings, medicine, etc)",1,
,,"high prices of inputs (fish feed, fingerlings / young fish, medicine etc)",2,
,,"disruption to banking services, access to cash or loans",3,
,,I cannot reach my fish pond / fishing location,4,
,,high price of fuel,5,
,,electricity / energy supply problems,6,
,,water / irrigation supply problems,7,
,,difficulties hiring workers,8,
,,not applicable,9996,
,,other (specify),9999,
g_17_oth,G.17 Other (specify) English,,,Numeric
,,I have to pay taxes. It is a difficult for me.,9,
g_18,"G.18 In the last three months, which was the main challenge you had for selling ",,,Integer
,,no difficulties,0,
,,low prices for fish or fish products,1,
,,high price of fuel / high transportation cost,2,
,,payment problems,3,
,,markets are closed,4,
,,not many traders,5,
,,buyers or traders cannot reach me or I cannot reach them,6,
,,not applicable,9996,
,,other (specify),9999,
h_01_01,H.01.1 food or agriculture related business,,,Numeric
,,Yes,1,
,,No,2,
h_01_02,"H.01.2 other non-agriculture, non-food business",,,Numeric
,,Yes,1,
,,No,2,
h_02_01,H.02. Which kind of food / crop related businesses? : mobile food vendor (unprep,,,Numeric
,,Yes,1,
,,No,2,
h_02_02,H.02. Which kind of food / crop related businesses? : fixed food vendor (unprepa,,,Numeric
,,Yes,1,
,,No,2,
h_02_03,"H.02. Which kind of food / crop related businesses? : Food (crop, fish, meat) tr",,,Numeric
,,Yes,1,
,,No,2,
h_02_04,H.02. Which kind of food / crop related businesses? : Rice miller,,,Numeric
,,Yes,1,
,,No,2,
h_02_05,H.02. Which kind of food / crop related businesses? : other food processing (oil,,,Numeric
,,Yes,1,
,,No,2,
h_02_06,H.02. Which kind of food / crop related businesses? : transport of agricultural ,,,Numeric
,,Yes,1,
,,No,2,
h_02_07,H.02. Which kind of food / crop related businesses? : selling prepared food/drin,,,Numeric
,,Yes,1,
,,No,2,
h_02_08,H.02. Which kind of food / crop related businesses? : food delivery business (sh,,,Numeric
,,Yes,1,
,,No,2,
h_02_09,H.02. Which kind of food / crop related businesses? : Agricultural input supplie,,,Numeric
,,Yes,1,
,,No,2,
h_02_10,H.02. Which kind of food / crop related businesses? : Agricultural machinery dea,,,Numeric
,,Yes,1,
,,No,2,
h_02_11,H.02. Which kind of food / crop related businesses? : Agricultural service provi,,,Numeric
,,Yes,1,
,,No,2,
h_02_12,H.02. Which kind of food/ crop related businesses? : betel nut kiosk,,,Numeric
,,Yes,1,
,,No,2,
h_02_99,H.02. Which kind of food / crop related businesses? : other (specify),,,Numeric
,,Yes,1,
,,No,2,
h_02_oth,H.02.9999. Other Specify (English),,,Numeric
,,Selling betel/ Betel Shop,12,
,,Selling betel/ Betel Wholesaler,13,
,,Pig farming,14,
,,(Selling Betel nut/ sale exclusively for betel nut),15,
h_03,H.03 In the last three months which was the main challenge you had for doing bus,,,Integer
,,no difficulties,0,
,,unable to acquire enough raw materials / supplies (availability),1,
,,high prices of raw materials or supplies,2,
,,high prices of fuel / high transport costs,3,
,,"disruption to banking services, access to cash or loans",4,
,,customers cannot reach my business or I cannot reach customers,5,
,,electricity / energy supply problems,6,
,,fewer / no customers interested in buying products,7,
,,difficulties hiring workers,8,
,,difficult to reclaim debts/customers purchase more on credit,9,
,,reduce operation hours,10,
,,difficult to find a place to operate,11,
,,losses in profit due to high rate of return,12,
,,unskillful in this business,13,
,,other (specify),9999,
h_03_oth,h.03.99 Other(Specify),,,Numeric
,,security concern,11,
,,time limitation,12,
,,time limitation due to martial law,13,
,,consumer debt,14,
,,transportation difficulty because lack of motorcycle licence  / because motorcycle was maintained,15,
,,waste of goods due to difficulty in transportation,16,
,,difficult to find a place for shop / shops are instructed to close down and move,17,
,,cannot go to town due to racial discrimination,18,
,,security concern due to political situation,19,
,,Less of experience is the problem,20,
,,Sales decline due to timely opening in the market,21,
,,Increase losses. A lot of return from customer due to increasing fake products.,22,
h_04_oth,h.04.99 Other(Specify),,,Integer
,,Ayeyar Shwesin,1,
,,Ayeyar Min (San Lone Shay),2,
,,Ayeyar Padaythar (Myo Ma Thant),3,
,,U Ye Myint San Kyan,4,
,,Oh Pyae,5,
,,Ok Ni,6,
,,Aein Shin Ma,7,
,,A Shay,8,
,,Anyar Thar,9,
,,A Seik,10,
,,Inn Lel,11,
,,A Chon,12,
,,Thu Kha Thit,13,
,,Thu Kha Tun,14,
,,Thiri Marlar,15,
,,Thee Mhae San,16,
,,Thein Mar,17,
,,Thwal Lay,18,
,,Thapyay Tann,19,
,,Thinn Thwel,20,
,,Thet Ngal San,21,
,,Wa Zi Yar,22,
,,Hla Thway Kywal,23,
,,Lal San,24,
,,Lin Lin,25,
,,lat Thel Kyan,26,
,,Sinn Thu Kha,27,
,,Yay Sinn,28,
,,Yayy Kyar,29,
,,Yoe Ni,30,
,,Yate Khar San ( Tat Htoke San),31,
,,Yar Gu gyi,32,
,,Shan San,33,
,,Shin Tone,34,
,,Shwe Ayeyar,35,
,,Shwe At,36,
,,Shwe Thwel Htun San = Shwe Thwel,37,
,,Shwe war tun san lone shay,38,
,,Shwebo Manaw = Shwe Bo,39,
,,Shwe Nat Thar,40,
,,Shwe Ta Sote,41,
,,Shwe Ngar,42,
,,Shwe Kyi Thuza,43,
,,Yangon Mal,44,
,,yadanar toe,45,
,,Yat 1 yar (San Kyan),46,
,,Yat 90 San,47,
,,Yat 80 San,48,
,,Yat 100 San,49,
,,Moe Cho San,50,
,,Hmawbi Shal,51,
,,Mhan Khar San,52,
,,Mhway San,53,
,,Myay Htine Thukha,54,
,,Mhee tonee,55,
